TEMPERATURA,UMIDADE,PRESSÃO RELATIVA,PRESSÃO ABSOLUTA,LUMINOSIDADE,TIMER,RSSI INTERNET_NODO,NODE_NETWORK_INFO,GATEWAY_NETWORK_INFO,RSSI INTERNET_GATEWAY,timestamp
15.2,77,1014.94,1018.2,802,2091,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:37:14
15.2,77,1014.94,1018.2,802,2091,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:37:31
15.2,77,1014.97,1018.23,805,9518,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:37:47
15.2,77,1014.97,1018.23,805,9518,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:38:03
15.2,77,1014.89,1018.14,807,2113,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:38:19
15.2,77,1014.89,1018.14,807,2113,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:38:35
15.2,77,1014.89,1018.27,805,2110,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:38:52
15.2,77,1015.02,1018.27,805,2110,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:39:08
15.2,77,1014.98,1018.23,802,2123,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:39:25
15.2,77,1014.98,1018.23,802,2123,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:39:43
15.2,77,1014.92,1018.18,810,2106,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:40:00
15.2,77,1014.92,1018.18,810,2106,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:40:16
15.2,77,1014.94,1018.19,806,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:40:33
15.2,77,1014.94,1018.19,806,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:40:49
15.2,77,1014.91,1018.16,805,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:41:06
15.2,77,1014.91,1018.16,805,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:41:22
15.2,77,1014.92,1018.17,807,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:41:39
15.2,77,1014.92,1018.17,807,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:41:56
15.2,77,1014.92,1018.17,807,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:42:13
15.2,77,1015,1018.25,806,2140,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:42:29
15.2,77,1015,1018.25,806,2140,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:42:44
15.2,77,1014.83,1018.08,807,2101,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:43:00
15.2,77,1014.83,1018.08,807,2101,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:43:17
15.2,77,1014.89,1018.15,809,2102,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:43:33
15.2,77,1014.89,1018.15,809,2102,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:43:49
15.2,77,1014.91,1018.17,809,2112,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:44:06
15.2,77,1014.84,1018.09,802,2101,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:44:22
15.2,77,1014.84,1018.09,802,2101,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:44:39
15.2,77,1014.91,1018.17,804,2103,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:44:55
15.2,77,1014.91,1018.17,804,2103,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:45:16
15.2,77,1014.78,1018.04,807,2121,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:45:33
15.2,77,1014.78,1018.04,807,2121,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:45:49
15.2,77,1014.84,1018.09,806,2092,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:46:05
15.2,77,1014.84,1018.09,806,2092,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:46:21
15.2,77,1014.86,1018.11,809,9462,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:46:39
15.2,77,1014.86,1018.11,809,9462,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:47:00
15.2,78,1014.76,1018.02,802,2094,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:47:19
15.2,78,1014.76,1018.02,802,2094,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:47:35
14.9,77,1014.78,1018.04,808,2119,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:47:51
14.9,77,1014.78,1018.04,808,2119,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:48:09
15.2,78,1014.88,1018.13,802,2111,100,"100%, ch1 / 100%, ch4","100%, ch4 / 100%, ch4",100,2024-07-11 01:48:25
15.2,78,1014.88,1018.13,802,2111,100,"100%, ch1 / 100%, ch4","100%, ch4 / 100%, ch4",100,2024-07-11 01:48:42
15.2,78,1014.85,1018.11,806,2071,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:48:58
15.2,78,1014.85,1018.11,806,2071,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:49:15
15.2,78,1014.86,1018.12,802,2100,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:49:31
15.2,78,1014.86,1018.12,802,2100,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:49:47
15.2,78,1014.84,1018.09,804,2090,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:50:03
15.2,78,1014.84,1018.09,804,2090,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:50:20
15.2,78,1014.84,1018.06,809,9585,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:50:37
15.2,78,1014.81,1018.06,809,9585,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:50:53
15.2,78,1014.81,1018.06,809,9585,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:51:10
15.2,78,1014.81,1018.06,809,9585,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:51:27
15.2,78,1014.79,1018.04,806,9502,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:51:43
15.2,78,1014.79,1018.04,806,9502,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:52:00
15.2,78,1014.79,1018.04,802,2091,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:52:16
15.2,78,1014.79,1018.04,802,2091,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:52:32
15.2,78,1014.82,1018.08,804,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:52:48
15.2,78,1014.82,1018.08,804,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:53:04
14.8,78,1014.78,1018.03,805,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:53:21
14.8,78,1014.78,1018.03,805,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:53:37
14.8,78,1014.78,1018.03,805,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:53:54
14.8,78,1014.74,1018,802,9489,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:54:10
14.8,78,1014.74,1018,802,9489,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:54:26
14.8,78,1014.74,1018,802,9489,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:54:43
14.8,78,1014.75,1018,802,3662,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:55:06
14.8,78,1014.75,1018,802,3662,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:55:22
14.8,78,1014.79,1018.05,808,9470,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:55:39
14.8,78,1014.79,1018.05,808,9470,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:55:56
14.8,78,1014.77,1018.03,807,9499,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:56:11
14.8,78,1014.77,1018.03,807,9499,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:56:32
14.8,78,1014.68,1017.93,807,2114,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:56:49
14.8,78,1014.68,1017.93,807,2114,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:57:06
14.8,79,1014.68,1017.94,805,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:57:22
14.8,79,1014.68,1017.94,805,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:57:38
14.8,78,1014.72,1017.98,802,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:57:54
14.8,78,1014.72,1017.98,802,2122,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:58:11
14.8,78,1014.66,1017.92,802,2112,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:58:28
14.8,78,1014.66,1017.92,802,2112,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:58:44
14.8,78,1014.67,1017.93,802,9507,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:59:00
14.8,79,1014.67,1017.93,802,9507,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:59:18
14.8,79,1014.67,1017.93,802,9507,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:59:35
14.8,79,1014.64,1017.89,805,3727,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:59:52
14.8,79,1014.64,1017.89,805,3727,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:00:08
14.8,79,1014.64,1017.89,805,3727,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:00:25
14.8,79,1014.57,1017.83,805,9531,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:00:41
14.8,79,1014.57,1017.83,805,9531,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:00:57
14.8,79,1014.62,1017.87,810,2142,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:01:14
14.8,79,1014.62,1017.87,810,2142,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:01:31
14.8,79,1014.62,1017.87,810,2142,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:01:48
14.8,79,1014.58,1017.84,802,2102,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:02:04
14.8,79,1014.58,1017.84,802,2102,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:02:21
14.8,79,1014.65,1017.9,802,2092,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:02:38
14.8,79,1014.65,1017.9,802,2092,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:02:54
14.8,79,1014.65,1017.9,802,2092,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:03:11
15.2,79,1014.6,1017.85,809,9492,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:03:27
15.2,79,1014.6,1017.85,809,9492,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:03:43
15.2,79,1014.58,1017.83,805,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:03:59
15.2,79,1014.58,1017.83,805,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:04:15
15.2,79,1014.59,1017.85,806,2111,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:04:31
15.2,79,1014.59,1017.85,806,2111,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:04:48
15.2,78,1014.55,1017.8,802,2143,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:05:05
15.2,78,1014.55,1017.8,802,2143,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:05:23
15.2,78,1014.54,1017.79,807,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:05:41
15.2,78,1014.54,1017.79,807,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:05:57
15.2,78,1014.52,1017.78,806,4422,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:06:14
15.2,78,1014.52,1017.78,806,4422,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:06:31
15.2,78,1014.62,1017.87,802,21872,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:06:47
15.2,78,1014.62,1017.87,802,21872,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:07:04
15.2,78,1014.62,1017.87,802,21872,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:07:20
15.2,78,1014.62,1017.87,802,2132,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:07:37
15.2,78,1014.59,1017.84,809,8099,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:07:55
15.2,78,1014.59,1017.84,809,8099,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:08:11
15.2,78,1014.61,1017.86,805,2099,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:08:27
15.2,78,1014.61,1017.86,805,2099,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:08:43
15.2,78,1014.69,1017.94,802,2115,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:08:59
15,78,1014.69,1017.94,802,2115,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:09:16
15,78,1014.69,1017.94,802,2115,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:09:35
15,78,1014.59,1017.84,806,9590,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:09:52
15,78,1014.59,1017.84,806,9590,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:10:09
14.9,78,1014.64,1017.89,808,2110,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:10:26
14.8,78,1014.62,1017.88,805,2102,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:10:42
14.8,78,1014.62,1017.88,805,2102,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:10:58
14.8,78,1014.61,1017.86,806,2100,100,"100%, ch1 / 100%, ch4","100%, ch1 / 82%, ch4",82,2024-07-11 02:11:15
14.8,78,1014.61,1017.86,806,2100,100,"100%, ch1 / 100%, ch4","100%, ch1 / 82%, ch4",82,2024-07-11 02:11:32
14.8,78,1014.62,1017.87,801,2102,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:11:48
14.8,78,1014.62,1017.87,801,2102,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:12:05
14.8,78,1014.63,1017.88,805,2112,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:12:22
14.8,78,1014.63,1017.88,805,2112,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:12:38
14.8,78,1014.66,1017.91,807,2132,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:12:55
14.8,78,1014.66,1017.91,807,2132,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:13:14
14.8,78,1014.65,1017.91,805,2112,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:13:30
14.8,78,1014.65,1017.91,805,2112,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:13:46
14.8,78,1014.66,1017.92,807,9512,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:14:03
14.8,78,1014.66,1017.92,807,9512,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:14:19
